kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Class	android.webkit.CookieSyncManager	1036	418	236	42	0	0	44	1	12	1	0	6	29	75	1	0	0	0	0	16	6	1	2	0	0	0	5	1	0	0	26	0	1	0	0	1	3	40	0	3	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	43	39	4	8	20	0	269	261	128	232	1470	0.7048
Public Class	android.webkit.DateSorter	11	9	176	21	0	0	55	2	11	0	0	7	18	64	1	0	0	0	0	0	8	0	0	0	0	0	6	6	0	3	3	0	1	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	65	30	2	0	24	0	75	108	77	107	4	2.7500
Public Interface	android.webkit.DownloadListener	100	90	2	2	0	0	4	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0.2591
Public Class	android.webkit.GeolocationPermissions	305	161	645	63	0	0	19	0	7	0	1	4	20	0	3	0	0	0	0	32	56	7	10	0	0	0	7	6	0	0	0	2	0	5	0	44	0	60	0	0	0	3	8	0	0	0	0	0	0	1	24	43	0	0	0	0	0	0	96	173	0	13	46	6	435	1176	253	662	4	76.2500
Public Class	android.webkit.HttpAuthHandler	521	408	400	34	0	0	14	0	5	1	1	1	62	0	1	0	0	0	0	37	45	0	0	0	0	0	21	0	0	0	0	4	1	0	0	40	0	32	0	5	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	74	105	0	3	0	6	305	598	324	391	189	2.7566
Public Annotation	android.webkit.JavascriptInterface	7	7	13	13	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	3	12	2	3.5000
Public Class	android.webkit.JsPromptResult	14	14	16	4	0	0	13	0	3	1	0	2	21	33	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	7	1813	0.0077
Public Class	android.webkit.JsResult	689	479	56	8	0	0	24	0	5	0	1	1	18	50	1	0	0	0	0	6	8	0	2	0	0	0	0	0	0	0	0	2	1	6	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	2	8	0	0	0	0	2	59	20	39	2169	0.3177
Public Class	android.webkit.MimeTypeMap	1237	384	2804	73	0	0	71	3	21	0	0	4	22	88	1	4	0	0	0	4	8	0	0	0	0	0	9	32	0	4	17	0	1	0	8	28	0	71	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	181	1275	2	12	1136	0	2396	4471	2402	2511	862	1.4350
Public Class	android.webkit.SslErrorHandler	808	552	432	38	0	0	5	0	3	1	1	0	60	0	1	0	0	0	0	32	25	0	2	0	0	0	13	8	0	0	56	4	1	0	0	7	0	36	10	4	5	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	54	83	0	27	34	13	289	241	292	350	979	0.8253
